Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
All-Weather Outdoor Patio Furniture,Default Category/Products,11,Yes,all-weather-outdoor-patio-furniture,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,All-Weather Outdoor Patio Furniture,"All-Weather, Outdoor, Patio, Furniture, Rattan",Our quality all-weather outdoor patio furniture is the epitome of strength and luxury.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
All-Weather Resin,Default Category/Products,12,Yes,all-weather-resin,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,All-Weather Resin,"All-Weather, Resin, All, Weather, Rattan, Outdoor, Furniture",Rattan outdoor all-weather resin keeps your furniture looking great all year long.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
All-Weather Wicker,Default Category/Products,13,Yes,all-weather-wicker,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,All-Weather Wicker,"All-Weather, Wicker, All-weather, wicker, Furniture, Outdoor",Your outdoor furniture will continue to look great season after season with our all-weather wicker.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
All-Weather Wicker Furniture,Default Category/Products,14,Yes,all-weather-wicker-furniture,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,All-Weather Wicker Furniture,"All-Weather, Wicker, Furniture, All-weather, wicker, furniture, Outdoor",Have comfort rain or shine with our all-weather wicker furniture.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Balcony Furniture,Default Category/Products,15,Yes,balcony-furniture,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,Balcony Furniture,"Balcony, Furniture, Rattan, Outdoor",Rattan outdoor balcony furniture will welcome in all of your scenic sunrises and sunsets.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Balcony Patio Sets,Default Category/Products,16,Yes,balcony-patio-sets,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,Balcony Patio Sets,"Balcony, Patio, Sets, Rattan, Wicker, Outdoor, Furniture",How can you ornate your outdoors with unsurpassed balcony patio sets? Bring home the comfort of our company's uniquely crafted balcony patio sets and see the fine detailed craftsmanship accomplished by our master artisans.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Balcony Sets,Default Category/Products,17,Yes,balcony-sets,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,Balcony Sets,"Balcony, Sets, Rattan, Outdoor, Furniture",Welcome in all of your scenic sunrises and dine under the pleasure of the ocean breeze on our exquisite rattan outdoor balcony sets.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Bar Furniture,Default Category/Products,18,Yes,bar-furniture,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,Bar Furniture,"Bar, Furniture, Rattan, Outdoor","With our rattan outdoor bar furniture, inviting your family and friends over for drinks has just become a weekly tradition.",Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Beach Chairs,Default Category/Products,19,Yes,beach-chairs,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,Beach Chairs,"Beach, Chairs, Rattan, Outdoor, Furniture",Bring luxury and relaxation to your poolside or beach house deck with our exclusive rattan beach chairs.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Benches,Default Category/Products,20,Yes,benches,"<p>Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market. Our high-quality furniture is priced at rock bottom prices. Our furniture designed with our very own exclusive Allure fabric, which won&#039;t fade in the sun or warp in the rain. Our synthetic Viro resin is crafted for low-maintenance and all-weather protection while being firmly fastened to our powder-coated, high-grade aluminum frames. However, durability is just the beginning as you browse through our online swatch book and find the perfect combination of color and fashion. Add contrasting welting and cushioning to all of your pillows or go for a traditional blending of neutral colorings. Celebrate the joy of the outdoors all-year-round, and discover what all of our customers already have, that our rattan outdoor furniture makes your yard extraordinary.</p><p>Your satisfaction is what keeps us growing as a company and makes rattan outdoor furniture a prized presentation for any home, hotel, restaurant or yacht club. Our expertly trained staff is willing to answer all of your rattan outdoor furniture questions and assist you in making an online purchase. We offer quick shipping options with in-stock furniture orders, or you can customize each furniture piece online.</p><p>We are happy to take your call today at (888) 555-5555 or email us all of your rattan outdoor furniture inquiries at sales@rattanoutdoorfurniture.com. Whether you&#039;re ordering online or on the phone, we want every furniture transaction to be satisfactory.</p>",,Benches,"Benches, Rattan, Outdoor, Furniture",Rattan outdoor benches will have you sitting in the utmost sense of style and comfort.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
